feature,rna_protein_r,p_nominal,meta_z,meta_p,q_value,significant
Gene_0016,0.682142857142857,0.0050863264689772515,2.569904583425314,0.010172652937954496,0.4355303523808554,False
Gene_0025,-0.6499999999999999,0.008711583621912303,-2.3776539722133916,0.0174231672438246,0.4355303523808554,False
Gene_0004,-0.5857142857142856,0.021776517619042774,-2.0183671762737863,0.04355303523808554,0.4355303523808554,False
Gene_0008,-0.44999999999999996,0.09235737494812256,-1.3263773122343372,0.18471474989624492,0.8114606166788058,False
Gene_0033,0.43214285714285705,0.10769303754639799,1.2388904385001958,0.21538607509279617,0.8114606166788058,False
Gene_0015,-0.38928571428571423,0.15151193679039388,-1.029970458074371,0.30302387358078775,0.8114606166788058,False
Gene_0009,0.38928571428571423,0.15151193679039388,1.029970458074371,0.30302387358078775,0.8114606166788058,False
Gene_0034,0.3857142857142856,0.1556307945859602,1.012578383754605,0.31126158917192037,0.8114606166788058,False
Gene_0026,0.37499999999999994,0.16843274984674558,0.9603770193650205,0.3368654996934911,0.8114606166788058,False
Gene_0003,-0.3714285714285714,0.17284974708033998,-0.9429636538207519,0.3456994941606799,0.8114606166788058,False
Gene_0037,-0.3607142857142856,0.18655437415416354,-0.8906653139823067,0.37310874830832685,0.8114606166788058,False
Gene_0011,0.3607142857142856,0.18655437415416354,0.8906653139823067,0.37310874830832685,0.8114606166788058,False
Gene_0027,-0.35357142857142854,0.19607167843419876,-0.8557368419525657,0.3921433568683975,0.8114606166788058,False
Gene_0020,-0.35357142857142854,0.19607167843419876,-0.8557368419525657,0.3921433568683975,0.8114606166788058,False
Gene_0013,-0.33928571428571425,0.2160289253419548,-0.7856751065351528,0.43205785068390967,0.8114606166788058,False
ALK,0.32499999999999996,0.23722543823723408,0.7152559918440194,0.47445087647446815,0.8114606166788058,False
Gene_0012,0.3107142857142856,0.2596673973372179,0.6443711395326298,0.5193347946744357,0.8114606166788058,False
BRCA1,0.3107142857142856,0.2596673973372179,0.6443711395326298,0.5193347946744357,0.8114606166788058,False
Gene_0035,-0.3,0.27731678036838386,-0.5908311507999029,0.5546335607367677,0.8156375893187761,False
ERBB2,-0.2928571428571428,0.289471667212401,-0.554928840153722,0.5789433344248018,0.8270619063211455,False
Gene_0006,0.2821428571428571,0.30828445682005556,0.5007189785569213,0.6165689136401111,0.8281828242915547,False
FGFR2,-0.2785714285714285,0.3147094732307908,-0.48254484911634604,0.6294189464615816,0.8281828242915547,False
AKT1,-0.2785714285714285,0.3147094732307908,-0.48254484911634604,0.6294189464615816,0.8281828242915547,False
BRCA2,0.25,0.36884629178393047,0.3349105233937205,0.7376925835678609,0.8996251019120256,False
Gene_0007,-0.24285714285714283,0.38312834183934175,-0.2972748464862158,0.7662566836786835,0.9032956341294226,False
FGFR1,0.22142857142857136,0.42771371901637,0.18219787825634925,0.85542743803274,0.9394955525318438,False
EGFR,-0.2178571428571428,0.43539267351553756,-0.1626610106776873,0.8707853470310751,0.9394955525318438,False
Gene_0002,-0.21428571428571427,0.44314093482351424,-0.14301052404078185,0.8862818696470285,0.9394955525318438,False
Gene_0018,-0.21071428571428572,0.450957865215285,-0.12324166840979718,0.90191573043057,0.9394955525318438,False
Gene_0024,-0.1964285714285714,0.4828987562716336,-0.04287959760366819,0.9657975125432672,0.9682366365859216,False
Gene_0036,-0.18214285714285713,0.5158816817070392,0.03981999322143332,0.9682366365859216,0.9682366365859216,False
Gene_0039,0.1464285714285714,0.602549920983054,-0.25995283149699044,0.7949001580338919,0.9032956341294226,False
BRAF,0.14285714285714282,0.6115222287644655,-0.2832886951406029,0.776955542471069,0.9032956341294226,False
Gene_0038,-0.125,0.6571356681869504,0.40465834695609676,0.6857286636260993,0.8571608295326241,False
Gene_0001,-0.11785714285714284,0.6757115292213043,0.45574001793375396,0.6485769415573914,0.8315088994325531,False
CDK4,0.09999999999999999,0.7228973252791182,-0.5914702998659856,0.5542053494417636,0.8156375893187761,False
Gene_0014,0.09285714285714285,0.742045009907367,-0.6496629205001925,0.5159099801852659,0.8114606166788058,False
Gene_0021,0.09285714285714285,0.742045009907367,-0.6496629205001925,0.5159099801852659,0.8114606166788058,False
Gene_0023,-0.08214285714285713,0.7710285652881772,0.7422384613354908,0.4579428694236455,0.8114606166788058,False
CCND1,-0.08214285714285713,0.7710285652881772,0.7422384613354908,0.4579428694236455,0.8114606166788058,False
Gene_0017,-0.075,0.7905107941552679,0.8081948678619502,0.41897841168946404,0.8114606166788058,False
Gene_0032,0.07142857142857141,0.8002959873970544,-0.8426789460445472,0.39940802520589114,0.8114606166788058,False
Gene_0019,0.06785714285714285,0.8101088187105131,-0.8782973702146692,0.3797823625789738,0.8114606166788058,False
Gene_0022,0.06428571428571428,0.8199479653196377,-0.9151668029527629,0.3601040693607247,0.8114606166788058,False
Gene_0010,0.049999999999999996,0.859540943467457,-1.0782591692976473,0.2809181130650861,0.8114606166788058,False
Gene_0030,0.035714285714285705,0.8994469934720875,-1.2784068413877296,0.20110601305582498,0.8114606166788058,False
Gene_0031,0.028571428571428564,0.9194899083821857,-1.4016486781071327,0.16102018323562883,0.8114606166788058,False
Gene_0029,0.021428571428571425,0.9395779040128779,-1.5512399483054244,0.12084419197424424,0.8114606166788058,False
Gene_0028,0.007142857142857141,0.9798442277615982,-2.0505422581313577,0.040311544476803636,0.4355303523808554,False
Gene_0005,0.007142857142857141,0.9798442277615982,-2.0505422581313577,0.040311544476803636,0.4355303523808554,False
