spot_id,x,y
SPOT_000,0.0,0.0
SPOT_001,1.0,0.0
SPOT_002,2.0,0.0
SPOT_003,3.0,0.0
SPOT_004,4.0,0.0
SPOT_005,5.0,0.0
SPOT_006,6.0,0.0
SPOT_007,7.0,0.0
SPOT_008,8.0,0.0
SPOT_009,9.0,0.0
SPOT_010,10.0,0.0
SPOT_011,11.0,0.0
SPOT_012,12.0,0.0
SPOT_013,13.0,0.0
SPOT_014,14.0,0.0
SPOT_015,15.0,0.0
SPOT_016,16.0,0.0
SPOT_017,17.0,0.0
SPOT_018,18.0,0.0
SPOT_019,19.0,0.0
SPOT_020,0.0,1.0
SPOT_021,1.0,1.0
SPOT_022,2.0,1.0
SPOT_023,3.0,1.0
SPOT_024,4.0,1.0
SPOT_025,5.0,1.0
SPOT_026,6.0,1.0
SPOT_027,7.0,1.0
SPOT_028,8.0,1.0
SPOT_029,9.0,1.0
SPOT_030,10.0,1.0
SPOT_031,11.0,1.0
SPOT_032,12.0,1.0
SPOT_033,13.0,1.0
SPOT_034,14.0,1.0
SPOT_035,15.0,1.0
SPOT_036,16.0,1.0
SPOT_037,17.0,1.0
SPOT_038,18.0,1.0
SPOT_039,19.0,1.0
SPOT_040,0.0,2.0
SPOT_041,1.0,2.0
SPOT_042,2.0,2.0
SPOT_043,3.0,2.0
SPOT_044,4.0,2.0
SPOT_045,5.0,2.0
SPOT_046,6.0,2.0
SPOT_047,7.0,2.0
SPOT_048,8.0,2.0
SPOT_049,9.0,2.0
SPOT_050,10.0,2.0
SPOT_051,11.0,2.0
SPOT_052,12.0,2.0
SPOT_053,13.0,2.0
SPOT_054,14.0,2.0
SPOT_055,15.0,2.0
SPOT_056,16.0,2.0
SPOT_057,17.0,2.0
SPOT_058,18.0,2.0
SPOT_059,19.0,2.0
SPOT_060,0.0,3.0
SPOT_061,1.0,3.0
SPOT_062,2.0,3.0
SPOT_063,3.0,3.0
SPOT_064,4.0,3.0
SPOT_065,5.0,3.0
SPOT_066,6.0,3.0
SPOT_067,7.0,3.0
SPOT_068,8.0,3.0
SPOT_069,9.0,3.0
SPOT_070,10.0,3.0
SPOT_071,11.0,3.0
SPOT_072,12.0,3.0
SPOT_073,13.0,3.0
SPOT_074,14.0,3.0
SPOT_075,15.0,3.0
SPOT_076,16.0,3.0
SPOT_077,17.0,3.0
SPOT_078,18.0,3.0
SPOT_079,19.0,3.0
SPOT_080,0.0,4.0
SPOT_081,1.0,4.0
SPOT_082,2.0,4.0
SPOT_083,3.0,4.0
SPOT_084,4.0,4.0
SPOT_085,5.0,4.0
SPOT_086,6.0,4.0
SPOT_087,7.0,4.0
SPOT_088,8.0,4.0
SPOT_089,9.0,4.0
SPOT_090,10.0,4.0
SPOT_091,11.0,4.0
SPOT_092,12.0,4.0
SPOT_093,13.0,4.0
SPOT_094,14.0,4.0
SPOT_095,15.0,4.0
SPOT_096,16.0,4.0
SPOT_097,17.0,4.0
SPOT_098,18.0,4.0
SPOT_099,19.0,4.0
SPOT_100,0.0,5.0
SPOT_101,1.0,5.0
SPOT_102,2.0,5.0
SPOT_103,3.0,5.0
SPOT_104,4.0,5.0
SPOT_105,5.0,5.0
SPOT_106,6.0,5.0
SPOT_107,7.0,5.0
SPOT_108,8.0,5.0
SPOT_109,9.0,5.0
SPOT_110,10.0,5.0
SPOT_111,11.0,5.0
SPOT_112,12.0,5.0
SPOT_113,13.0,5.0
SPOT_114,14.0,5.0
SPOT_115,15.0,5.0
SPOT_116,16.0,5.0
SPOT_117,17.0,5.0
SPOT_118,18.0,5.0
SPOT_119,19.0,5.0
SPOT_120,0.0,6.0
SPOT_121,1.0,6.0
SPOT_122,2.0,6.0
SPOT_123,3.0,6.0
SPOT_124,4.0,6.0
SPOT_125,5.0,6.0
SPOT_126,6.0,6.0
SPOT_127,7.0,6.0
SPOT_128,8.0,6.0
SPOT_129,9.0,6.0
SPOT_130,10.0,6.0
SPOT_131,11.0,6.0
SPOT_132,12.0,6.0
SPOT_133,13.0,6.0
SPOT_134,14.0,6.0
SPOT_135,15.0,6.0
SPOT_136,16.0,6.0
SPOT_137,17.0,6.0
SPOT_138,18.0,6.0
SPOT_139,19.0,6.0
SPOT_140,0.0,7.0
SPOT_141,1.0,7.0
SPOT_142,2.0,7.0
SPOT_143,3.0,7.0
SPOT_144,4.0,7.0
SPOT_145,5.0,7.0
SPOT_146,6.0,7.0
SPOT_147,7.0,7.0
SPOT_148,8.0,7.0
SPOT_149,9.0,7.0
SPOT_150,10.0,7.0
SPOT_151,11.0,7.0
SPOT_152,12.0,7.0
SPOT_153,13.0,7.0
SPOT_154,14.0,7.0
SPOT_155,15.0,7.0
SPOT_156,16.0,7.0
SPOT_157,17.0,7.0
SPOT_158,18.0,7.0
SPOT_159,19.0,7.0
SPOT_160,0.0,8.0
SPOT_161,1.0,8.0
SPOT_162,2.0,8.0
SPOT_163,3.0,8.0
SPOT_164,4.0,8.0
SPOT_165,5.0,8.0
SPOT_166,6.0,8.0
SPOT_167,7.0,8.0
SPOT_168,8.0,8.0
SPOT_169,9.0,8.0
SPOT_170,10.0,8.0
SPOT_171,11.0,8.0
SPOT_172,12.0,8.0
SPOT_173,13.0,8.0
SPOT_174,14.0,8.0
SPOT_175,15.0,8.0
SPOT_176,16.0,8.0
SPOT_177,17.0,8.0
SPOT_178,18.0,8.0
SPOT_179,19.0,8.0
SPOT_180,0.0,9.0
SPOT_181,1.0,9.0
SPOT_182,2.0,9.0
SPOT_183,3.0,9.0
SPOT_184,4.0,9.0
SPOT_185,5.0,9.0
SPOT_186,6.0,9.0
SPOT_187,7.0,9.0
SPOT_188,8.0,9.0
SPOT_189,9.0,9.0
SPOT_190,10.0,9.0
SPOT_191,11.0,9.0
SPOT_192,12.0,9.0
SPOT_193,13.0,9.0
SPOT_194,14.0,9.0
SPOT_195,15.0,9.0
SPOT_196,16.0,9.0
SPOT_197,17.0,9.0
SPOT_198,18.0,9.0
SPOT_199,19.0,9.0
SPOT_200,0.0,10.0
SPOT_201,1.0,10.0
SPOT_202,2.0,10.0
SPOT_203,3.0,10.0
SPOT_204,4.0,10.0
SPOT_205,5.0,10.0
SPOT_206,6.0,10.0
SPOT_207,7.0,10.0
SPOT_208,8.0,10.0
SPOT_209,9.0,10.0
SPOT_210,10.0,10.0
SPOT_211,11.0,10.0
SPOT_212,12.0,10.0
SPOT_213,13.0,10.0
SPOT_214,14.0,10.0
SPOT_215,15.0,10.0
SPOT_216,16.0,10.0
SPOT_217,17.0,10.0
SPOT_218,18.0,10.0
SPOT_219,19.0,10.0
SPOT_220,0.0,11.0
SPOT_221,1.0,11.0
SPOT_222,2.0,11.0
SPOT_223,3.0,11.0
SPOT_224,4.0,11.0
SPOT_225,5.0,11.0
SPOT_226,6.0,11.0
SPOT_227,7.0,11.0
SPOT_228,8.0,11.0
SPOT_229,9.0,11.0
SPOT_230,10.0,11.0
SPOT_231,11.0,11.0
SPOT_232,12.0,11.0
SPOT_233,13.0,11.0
SPOT_234,14.0,11.0
SPOT_235,15.0,11.0
SPOT_236,16.0,11.0
SPOT_237,17.0,11.0
SPOT_238,18.0,11.0
SPOT_239,19.0,11.0
SPOT_240,0.0,12.0
SPOT_241,1.0,12.0
SPOT_242,2.0,12.0
SPOT_243,3.0,12.0
SPOT_244,4.0,12.0
SPOT_245,5.0,12.0
SPOT_246,6.0,12.0
SPOT_247,7.0,12.0
SPOT_248,8.0,12.0
SPOT_249,9.0,12.0
SPOT_250,10.0,12.0
SPOT_251,11.0,12.0
SPOT_252,12.0,12.0
SPOT_253,13.0,12.0
SPOT_254,14.0,12.0
SPOT_255,15.0,12.0
SPOT_256,16.0,12.0
SPOT_257,17.0,12.0
SPOT_258,18.0,12.0
SPOT_259,19.0,12.0
SPOT_260,0.0,13.0
SPOT_261,1.0,13.0
SPOT_262,2.0,13.0
SPOT_263,3.0,13.0
SPOT_264,4.0,13.0
SPOT_265,5.0,13.0
SPOT_266,6.0,13.0
SPOT_267,7.0,13.0
SPOT_268,8.0,13.0
SPOT_269,9.0,13.0
SPOT_270,10.0,13.0
SPOT_271,11.0,13.0
SPOT_272,12.0,13.0
SPOT_273,13.0,13.0
SPOT_274,14.0,13.0
SPOT_275,15.0,13.0
SPOT_276,16.0,13.0
SPOT_277,17.0,13.0
SPOT_278,18.0,13.0
SPOT_279,19.0,13.0
SPOT_280,0.0,14.0
SPOT_281,1.0,14.0
SPOT_282,2.0,14.0
SPOT_283,3.0,14.0
SPOT_284,4.0,14.0
SPOT_285,5.0,14.0
SPOT_286,6.0,14.0
SPOT_287,7.0,14.0
SPOT_288,8.0,14.0
SPOT_289,9.0,14.0
SPOT_290,10.0,14.0
SPOT_291,11.0,14.0
SPOT_292,12.0,14.0
SPOT_293,13.0,14.0
SPOT_294,14.0,14.0
SPOT_295,15.0,14.0
SPOT_296,16.0,14.0
SPOT_297,17.0,14.0
SPOT_298,18.0,14.0
SPOT_299,19.0,14.0
