spot_id,region
SPOT_000,immune
SPOT_001,necrotic
SPOT_002,immune
SPOT_003,tumor_core
SPOT_004,tumor_core
SPOT_005,immune
SPOT_006,tumor_core
SPOT_007,tumor_core
SPOT_008,necrotic
SPOT_009,immune
SPOT_010,stroma
SPOT_011,necrotic
SPOT_012,stroma
SPOT_013,stroma
SPOT_014,immune
SPOT_015,immune
SPOT_016,tumor_core
SPOT_017,immune
SPOT_018,tumor_core
SPOT_019,stroma
SPOT_020,stroma
SPOT_021,necrotic
SPOT_022,tumor_core
SPOT_023,immune
SPOT_024,necrotic
SPOT_025,necrotic
SPOT_026,immune
SPOT_027,necrotic
SPOT_028,stroma
SPOT_029,immune
SPOT_030,necrotic
SPOT_031,necrotic
SPOT_032,stroma
SPOT_033,stroma
SPOT_034,necrotic
SPOT_035,tumor_core
SPOT_036,necrotic
SPOT_037,necrotic
SPOT_038,tumor_core
SPOT_039,necrotic
SPOT_040,necrotic
SPOT_041,stroma
SPOT_042,stroma
SPOT_043,tumor_core
SPOT_044,necrotic
SPOT_045,stroma
SPOT_046,immune
SPOT_047,stroma
SPOT_048,necrotic
SPOT_049,necrotic
SPOT_050,stroma
SPOT_051,immune
SPOT_052,stroma
SPOT_053,stroma
SPOT_054,immune
SPOT_055,immune
SPOT_056,stroma
SPOT_057,immune
SPOT_058,tumor_core
SPOT_059,stroma
SPOT_060,stroma
SPOT_061,stroma
SPOT_062,tumor_core
SPOT_063,necrotic
SPOT_064,stroma
SPOT_065,immune
SPOT_066,tumor_core
SPOT_067,tumor_core
SPOT_068,tumor_core
SPOT_069,tumor_core
SPOT_070,tumor_core
SPOT_071,stroma
SPOT_072,immune
SPOT_073,stroma
SPOT_074,tumor_core
SPOT_075,tumor_core
SPOT_076,immune
SPOT_077,tumor_core
SPOT_078,tumor_core
SPOT_079,immune
SPOT_080,tumor_core
SPOT_081,tumor_core
SPOT_082,tumor_core
SPOT_083,necrotic
SPOT_084,tumor_core
SPOT_085,immune
SPOT_086,necrotic
SPOT_087,stroma
SPOT_088,necrotic
SPOT_089,stroma
SPOT_090,necrotic
SPOT_091,immune
SPOT_092,immune
