feature,rna_protein_r,p_nominal,meta_z,meta_p,q_value,significant
ESR1,0.782142857142857,0.0018563264689772,3.102904583425314,0.001917265293795,0.0767090611751821,False
PGR,0.712142857142857,0.0038711583621912,2.877653972213391,0.004017231672438,0.0803446334487664,False
GATA3,0.685714285714286,0.0058776517619043,2.618367176273786,0.008855303523808,0.1180707136507744,False
FOXA1,0.641428571428571,0.0103235737494812,-2.226377312234337,0.026071474989624,0.2607147498962449,False
KRT18,0.607142857142857,0.0156913036754640,2.038890438500196,0.041538607509280,0.3323088600742238,False
CCND1,0.585714285714286,0.0211511936790394,-1.829970458074371,0.067302387358079,0.4487304917413765,False
PIK3CA,0.553571428571429,0.0301511936790394,1.729970458074371,0.083682743582058,0.4781585347546179,False
MYC,0.521428571428571,0.0455307945859602,1.612578383754605,0.106926158917192,0.5346307945859600,False
MAP3K1,-0.489285714285714,0.0614327498467456,-1.460377019365021,0.144165499693491,0.6407355541488940,False
MKI67,0.464285714285714,0.0772849748083400,-1.342963653820752,0.179199494160680,0.7167979766426802,False
BRCA2,0.382142857142857,0.1300067397337218,0.944371139532630,0.345034794674436,0.8114606166788058,False
ERBB2,-0.267857142857143,0.2371254382372341,0.715255991844019,0.474450876474468,0.8114606166788058,False
AKT1,-0.278571428571429,0.3147094732307908,-0.482544849116346,0.629418946461582,0.8281828242915547,False
EGFR,-0.217857142857143,0.4353926735155376,-0.162661010677687,0.870785347031075,0.9394955525318438,False
CDK4,0.100000000000000,0.7228973252791182,-0.591470299865986,0.554205349441764,0.8156375893187761,False
TOP2A,0.171428571428571,0.5428816817070392,0.339819993221433,0.734023636585922,0.8918171220644202,False
VIM,-0.135714285714286,0.6291356681869504,0.404658346956097,0.685728663626099,0.8571608295326241,False
COL1A1,-0.117857142857143,0.6757115292213043,0.455740017933754,0.648576941557391,0.8315088994325531,False
CD8A,0.092857142857143,0.7420450099073670,-0.649662920500193,0.515909980185266,0.8114606166788058,False
FOXP3,-0.082142857142857,0.7710285652881772,0.742238461335491,0.457942869423646,0.8114606166788058,False
