spot_id,patient_id,region
PAT002_SPOT_00_00,PAT002-BC-2026,adipose
PAT002_SPOT_00_01,PAT002-BC-2026,adipose
PAT002_SPOT_00_02,PAT002-BC-2026,adipose
PAT002_SPOT_00_03,PAT002-BC-2026,adipose
PAT002_SPOT_00_04,PAT002-BC-2026,adipose
PAT002_SPOT_00_05,PAT002-BC-2026,adipose
PAT002_SPOT_00_06,PAT002-BC-2026,adipose
PAT002_SPOT_00_07,PAT002-BC-2026,adipose
PAT002_SPOT_00_08,PAT002-BC-2026,adipose
PAT002_SPOT_00_09,PAT002-BC-2026,adipose
PAT002_SPOT_00_10,PAT002-BC-2026,adipose
PAT002_SPOT_00_11,PAT002-BC-2026,adipose
PAT002_SPOT_00_12,PAT002-BC-2026,adipose
PAT002_SPOT_00_13,PAT002-BC-2026,adipose
PAT002_SPOT_00_14,PAT002-BC-2026,adipose
PAT002_SPOT_00_15,PAT002-BC-2026,adipose
PAT002_SPOT_00_16,PAT002-BC-2026,adipose
PAT002_SPOT_00_17,PAT002-BC-2026,adipose
PAT002_SPOT_00_18,PAT002-BC-2026,adipose
PAT002_SPOT_00_19,PAT002-BC-2026,adipose
PAT002_SPOT_00_20,PAT002-BC-2026,adipose
PAT002_SPOT_00_21,PAT002-BC-2026,adipose
PAT002_SPOT_00_22,PAT002-BC-2026,adipose
PAT002_SPOT_00_23,PAT002-BC-2026,adipose
PAT002_SPOT_00_24,PAT002-BC-2026,adipose
PAT002_SPOT_00_25,PAT002-BC-2026,adipose
PAT002_SPOT_00_26,PAT002-BC-2026,adipose
PAT002_SPOT_00_27,PAT002-BC-2026,adipose
PAT002_SPOT_00_28,PAT002-BC-2026,adipose
PAT002_SPOT_00_29,PAT002-BC-2026,adipose
PAT002_SPOT_01_00,PAT002-BC-2026,adipose
PAT002_SPOT_01_01,PAT002-BC-2026,adipose
PAT002_SPOT_01_02,PAT002-BC-2026,adipose
PAT002_SPOT_01_03,PAT002-BC-2026,adipose
PAT002_SPOT_01_04,PAT002-BC-2026,adipose
PAT002_SPOT_01_05,PAT002-BC-2026,adipose
PAT002_SPOT_01_06,PAT002-BC-2026,adipose
PAT002_SPOT_01_07,PAT002-BC-2026,adipose
PAT002_SPOT_01_08,PAT002-BC-2026,adipose
PAT002_SPOT_01_09,PAT002-BC-2026,adipose
PAT002_SPOT_01_10,PAT002-BC-2026,adipose
PAT002_SPOT_01_11,PAT002-BC-2026,adipose
PAT002_SPOT_01_12,PAT002-BC-2026,adipose
PAT002_SPOT_01_13,PAT002-BC-2026,adipose
PAT002_SPOT_01_14,PAT002-BC-2026,adipose
PAT002_SPOT_01_15,PAT002-BC-2026,adipose
PAT002_SPOT_01_16,PAT002-BC-2026,adipose
PAT002_SPOT_01_17,PAT002-BC-2026,adipose
PAT002_SPOT_01_18,PAT002-BC-2026,adipose
PAT002_SPOT_01_19,PAT002-BC-2026,adipose
PAT002_SPOT_01_20,PAT002-BC-2026,adipose
PAT002_SPOT_01_21,PAT002-BC-2026,adipose
PAT002_SPOT_01_22,PAT002-BC-2026,adipose
PAT002_SPOT_01_23,PAT002-BC-2026,adipose
PAT002_SPOT_01_24,PAT002-BC-2026,adipose
PAT002_SPOT_01_25,PAT002-BC-2026,adipose
PAT002_SPOT_01_26,PAT002-BC-2026,adipose
PAT002_SPOT_01_27,PAT002-BC-2026,adipose
PAT002_SPOT_01_28,PAT002-BC-2026,adipose
PAT002_SPOT_01_29,PAT002-BC-2026,adipose
PAT002_SPOT_02_00,PAT002-BC-2026,adipose
PAT002_SPOT_02_01,PAT002-BC-2026,adipose
PAT002_SPOT_02_02,PAT002-BC-2026,adipose
PAT002_SPOT_02_03,PAT002-BC-2026,adipose
PAT002_SPOT_02_04,PAT002-BC-2026,adipose
PAT002_SPOT_02_05,PAT002-BC-2026,adipose
PAT002_SPOT_02_06,PAT002-BC-2026,adipose
PAT002_SPOT_02_07,PAT002-BC-2026,adipose
PAT002_SPOT_02_08,PAT002-BC-2026,adipose
PAT002_SPOT_02_09,PAT002-BC-2026,adipose
PAT002_SPOT_02_10,PAT002-BC-2026,stroma
PAT002_SPOT_02_11,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_02_12,PAT002-BC-2026,stroma
PAT002_SPOT_02_13,PAT002-BC-2026,stroma
PAT002_SPOT_02_14,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_02_15,PAT002-BC-2026,stroma
PAT002_SPOT_02_16,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_02_17,PAT002-BC-2026,stroma
PAT002_SPOT_02_18,PAT002-BC-2026,stroma
PAT002_SPOT_02_19,PAT002-BC-2026,stroma
PAT002_SPOT_02_20,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_02_21,PAT002-BC-2026,adipose
PAT002_SPOT_02_22,PAT002-BC-2026,adipose
PAT002_SPOT_02_23,PAT002-BC-2026,adipose
PAT002_SPOT_02_24,PAT002-BC-2026,adipose
PAT002_SPOT_02_25,PAT002-BC-2026,adipose
PAT002_SPOT_02_26,PAT002-BC-2026,adipose
PAT002_SPOT_02_27,PAT002-BC-2026,adipose
PAT002_SPOT_02_28,PAT002-BC-2026,adipose
PAT002_SPOT_02_29,PAT002-BC-2026,adipose
PAT002_SPOT_03_00,PAT002-BC-2026,adipose
PAT002_SPOT_03_01,PAT002-BC-2026,adipose
PAT002_SPOT_03_02,PAT002-BC-2026,adipose
PAT002_SPOT_03_03,PAT002-BC-2026,adipose
PAT002_SPOT_03_04,PAT002-BC-2026,adipose
PAT002_SPOT_03_05,PAT002-BC-2026,adipose
PAT002_SPOT_03_06,PAT002-BC-2026,adipose
PAT002_SPOT_03_07,PAT002-BC-2026,adipose
PAT002_SPOT_03_08,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_03_09,PAT002-BC-2026,stroma
PAT002_SPOT_03_10,PAT002-BC-2026,stroma
PAT002_SPOT_03_11,PAT002-BC-2026,stroma
PAT002_SPOT_03_12,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_03_13,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_03_14,PAT002-BC-2026,stroma
PAT002_SPOT_03_15,PAT002-BC-2026,stroma
PAT002_SPOT_03_16,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_03_17,PAT002-BC-2026,stroma
PAT002_SPOT_03_18,PAT002-BC-2026,stroma
PAT002_SPOT_03_19,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_03_20,PAT002-BC-2026,stroma
PAT002_SPOT_03_21,PAT002-BC-2026,stroma
PAT002_SPOT_03_22,PAT002-BC-2026,stroma
PAT002_SPOT_03_23,PAT002-BC-2026,adipose
PAT002_SPOT_03_24,PAT002-BC-2026,adipose
PAT002_SPOT_03_25,PAT002-BC-2026,adipose
PAT002_SPOT_03_26,PAT002-BC-2026,adipose
PAT002_SPOT_03_27,PAT002-BC-2026,adipose
PAT002_SPOT_03_28,PAT002-BC-2026,adipose
PAT002_SPOT_03_29,PAT002-BC-2026,adipose
PAT002_SPOT_04_00,PAT002-BC-2026,adipose
PAT002_SPOT_04_01,PAT002-BC-2026,adipose
PAT002_SPOT_04_02,PAT002-BC-2026,adipose
PAT002_SPOT_04_03,PAT002-BC-2026,adipose
PAT002_SPOT_04_04,PAT002-BC-2026,adipose
PAT002_SPOT_04_05,PAT002-BC-2026,adipose
PAT002_SPOT_04_06,PAT002-BC-2026,adipose
PAT002_SPOT_04_07,PAT002-BC-2026,stroma
PAT002_SPOT_04_08,PAT002-BC-2026,stroma
PAT002_SPOT_04_09,PAT002-BC-2026,stroma
PAT002_SPOT_04_10,PAT002-BC-2026,stroma
PAT002_SPOT_04_11,PAT002-BC-2026,stroma
PAT002_SPOT_04_12,PAT002-BC-2026,stroma
PAT002_SPOT_04_13,PAT002-BC-2026,stroma
PAT002_SPOT_04_14,PAT002-BC-2026,stroma
PAT002_SPOT_04_15,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_04_16,PAT002-BC-2026,stroma
PAT002_SPOT_04_17,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_04_18,PAT002-BC-2026,stroma
PAT002_SPOT_04_19,PAT002-BC-2026,stroma
PAT002_SPOT_04_20,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_04_21,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_04_22,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_04_23,PAT002-BC-2026,stroma
PAT002_SPOT_04_24,PAT002-BC-2026,adipose
PAT002_SPOT_04_25,PAT002-BC-2026,adipose
PAT002_SPOT_04_26,PAT002-BC-2026,adipose
PAT002_SPOT_04_27,PAT002-BC-2026,adipose
PAT002_SPOT_04_28,PAT002-BC-2026,adipose
PAT002_SPOT_04_29,PAT002-BC-2026,adipose
PAT002_SPOT_05_00,PAT002-BC-2026,adipose
PAT002_SPOT_05_01,PAT002-BC-2026,adipose
PAT002_SPOT_05_02,PAT002-BC-2026,adipose
PAT002_SPOT_05_03,PAT002-BC-2026,adipose
PAT002_SPOT_05_04,PAT002-BC-2026,adipose
PAT002_SPOT_05_05,PAT002-BC-2026,normal_epithelium
PAT002_SPOT_05_06,PAT002-BC-2026,stroma
PAT002_SPOT_05_07,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_05_08,PAT002-BC-2026,stroma
PAT002_SPOT_05_09,PAT002-BC-2026,stroma
PAT002_SPOT_05_10,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_05_11,PAT002-BC-2026,stroma
PAT002_SPOT_05_12,PAT002-BC-2026,stroma
PAT002_SPOT_05_13,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_05_14,PAT002-BC-2026,stroma
PAT002_SPOT_05_15,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_05_16,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_05_17,PAT002-BC-2026,stroma
PAT002_SPOT_05_18,PAT002-BC-2026,stroma
PAT002_SPOT_05_19,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_05_20,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_05_21,PAT002-BC-2026,stroma
PAT002_SPOT_05_22,PAT002-BC-2026,stroma
PAT002_SPOT_05_23,PAT002-BC-2026,stroma
PAT002_SPOT_05_24,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_05_25,PAT002-BC-2026,normal_epithelium
PAT002_SPOT_05_26,PAT002-BC-2026,adipose
PAT002_SPOT_05_27,PAT002-BC-2026,adipose
PAT002_SPOT_05_28,PAT002-BC-2026,adipose
PAT002_SPOT_05_29,PAT002-BC-2026,adipose
PAT002_SPOT_06_00,PAT002-BC-2026,adipose
PAT002_SPOT_06_01,PAT002-BC-2026,adipose
PAT002_SPOT_06_02,PAT002-BC-2026,adipose
PAT002_SPOT_06_03,PAT002-BC-2026,adipose
PAT002_SPOT_06_04,PAT002-BC-2026,adipose
PAT002_SPOT_06_05,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_06_06,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_06_07,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_06_08,PAT002-BC-2026,immune_infiltrate
PAT002_SPOT_06_09,PAT002-BC-2026,stroma
PAT002_SPOT_06_10,PAT002-BC-2026,stroma
PAT002_SPOT_06_11,PAT002-BC-2026,tumor_core
PAT002_SPOT_06_12,PAT002-BC-2026,tumor_core
PAT002_SPOT_06_13,PAT002-BC-2026,tumor_core
PAT002_SPOT_06_14,PAT002-BC-2026,tumor_core
PAT002_SPOT_06_15,PAT002-BC-2026,tumor_core
PAT002_SPOT_06_16,PAT002-BC-2026,tumor_core
PAT002_SPOT_06_17,PAT002-BC-2026,tumor_core
